unique_identifier,Club_Name,Postal_Code,Address,Age,Category,Activity,Website
232,Temppukoulu,20100,Pietari Valdin katu 14,7,Sports,Sports,https://harrastukset.turku.fi/fi-FI/page/6592f83f1cb1934dbe7fc8f0
705,Tuomiokirkon muskari,20500,Turun tuomiokirkko,7,Art,Sing,https://harrastukset.turku.fi/fi-FI/page/65a8e2eae5f4f7047a6f54ba
142,Taidetyöpajat kirjastotaiteilijan kanssa,20360,Runosmäen kirjasto Piiparinpolku 13,7,Handcraft,Handmade,https://harrastukset.turku.fi/fi-FI/page/65af8b0c427bfb234d53a3a1
732,Rytmipuu - muskari 1-3-vuotiaille C,20100,Satakunnantie 10,7,Art,Sing,https://harrastukset.turku.fi/fi-FI/page/657ebc9fb3559b7bc3869b4b
644,Kirjastotaiteilija,20740,Lauklähteenkatu 13,7,Handcraft,Handmade,https://harrastukset.turku.fi/fi-FI/page/65afb882427bfb234d53a446
746,Laulupuu - muskari 4-6-vuotiaille,20100,Satakunnantie 10,7,Art,Sing,https://harrastukset.turku.fi/fi-FI/page/657eba50b3559b7bc3869b46
939,Unga poeters sällskap,20100,Slottsgatan 2,7,Art,Story,https://harrastukset.turku.fi/fi-FI/page/658eafd6b3a38943e9c78a5a
494,Kansantanssi,20360,Varusmestarintie 14,7,Sports,Dance,https://harrastukset.turku.fi/fi-FI/page/65a17d51f50a1a01d3783246
197,Luovat kädet,20520,Lastenkulttuurikeskus Seikkailupuisto,7,Handcraft,Handmade,https://harrastukset.turku.fi/fi-FI/page/65647d235edb2d0437b0cce1
839,Berättelsetisdag,20100,Slottsgatan 2,7,Art,Story,https://harrastukset.turku.fi/fi-FI/page/658eb416dd9fab20a94c47e9
798,Muotoilun harrastustunnit lapsille ja nuorille,20700,Taiteen talo Nunnankatu 4,7,Art,sculpture,https://harrastukset.turku.fi/fi-FI/page/65781950a63ff1043a9a2a80
324,tiedekoulu,20760,Nurminiitynkatu 1 20760 Piispanristi,7,Science,Code,https://www.tiedekoulu.fi/lukujarjestys/lukukausimaksut
751,tiedekoulu,20100,Lonttistentie 9C 20100,7,Science,Robot,https://www.tiedekoulu.fi/oppimispolut/robotiikka
999,BeatDance,20320,Tammimäenkatu 3 20320 Turku,8,Sports,Dance,https://www.beatdancecompany.fi/
796,Tuto Hockey,20700,Sepänkatu 5b 20700 Turku,6,Sports,Hocky,https://www.tuto.fi/
480,FBC Turku,20320,Niitunniskantie 18 20320 Turku,8,Sports,Basketball,https://www.fbcturku.net
450,4h,20460,Arkeologinkatu 4,8,Sports,Sports,https://turku.4h.fi/kerhot/jakarlan-4h-kerho/
247,4h,20320,Pirttilähteenkatu 5,8,Handcraft,sewing,https://turku.4h.fi/kerhot/kassakerho-pehmeat-materiaalit/
360,4h,20320,Pirttilähteenkatu 5,8,Handcraft,woodwork,https://turku.4h.fi/kerhot/kassakerho-kovat-materiaalit/
146,4h,20320,Pirttilähteenkatu 5,8,Art,gardener,https://turku.4h.fi/kerhot/sormet-multaan-kerho/
715,4h,20540,Gregorius IX tie 8,8,Art,drawing,https://turku.4h.fi/kerhot/halisten-kuviskerho/
193,4h,20700,Sepänkatu 3,8,Art,photo club,https://turku.4h.fi/kerhot/kuvataidekerho/
753,4h,20320,Pirttilähteenkatu 5,8,Art,manga club,https://turku.4h.fi/kerhot/manga-kuviskerho/
931,4h,20700,Sepänkatu 3,8,Handcraft,culinary,https://turku.4h.fi/kerhot/mArtin-kokkikerho/
470,4h,20750,Maistraatinpolku 1,8,Art,Art,https://turku.4h.fi/kerhot/lausteen-4h-kerho/
454,4h,20320,Pirttilähteenkatu 5,8,Handcraft,culinary,https://turku.4h.fi/kerhot/ruohonpaan-kokkikerho/
950,4h,20540,Gregorius IX tie 8,8,Handcraft,culinary,https://turku.4h.fi/kerhot/halisten-kokkikerho/
405,Turun Parkour Akatemia,20100,Helsinginkatu 21,8,Sports,Parkour,https://parkourakatemia.fi/turku/
